                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1982,                 4.8693,                 1.3673,                0.10396,                0.33823,                0.10775,                0.08337,                0.89957,                 4.4141,                 1.2072,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                0.90979,                 2.8937,                 1.1994,                0.19413,                0.46195,                0.21267,                0.16089,                0.92493,                 3.1804,                 1.1996,             0.00020638,             0.00020638,             0.00020638
                      3,                0.84366,                  2.303,                 1.1402,                0.28177,                0.44497,                0.28864,                0.22446,                0.90371,                 2.9821,                 1.2273,             0.00031209,             0.00031209,             0.00031209
                      4,                0.81401,                 1.9295,                 1.1156,                0.30786,                0.25725,                0.24502,                0.16875,                 1.1861,                 2.5884,                 1.3619,             0.00041709,             0.00041709,             0.00041709
                      5,                0.85141,                 1.7535,                 1.1324,                0.40325,                0.32813,                0.29043,                0.20841,                 1.1743,                 2.3229,                 1.4371,             0.00052139,             0.00052139,             0.00052139
                      6,                0.89972,                  1.698,                 1.1549,                0.32644,                0.41891,                0.33694,                0.22395,                 1.1384,                 2.3298,                 1.4693,             0.00062497,             0.00062497,             0.00062497
                      7,                0.89588,                 1.6421,                 1.1591,                0.34399,                0.42537,                 0.3419,                0.22604,                 1.2343,                 2.8122,                 1.4684,             0.00069986,             0.00069986,             0.00069986
                      8,                 0.8747,                 1.5138,                 1.1315,                0.27077,                0.36829,                0.25776,                0.16256,                 1.3669,                 3.1644,                 1.5852,             0.00069751,             0.00069751,             0.00069751
                      9,                0.86219,                 1.4488,                 1.1208,                0.39125,                0.38623,                0.35114,                0.24569,                 1.1953,                 2.6648,                   1.44,             0.00069515,             0.00069515,             0.00069515
                     10,                0.85827,                 1.4428,                 1.1404,                0.51225,                0.36307,                0.39477,                0.26928,                 1.1387,                 2.3438,                 1.3923,             0.00069279,             0.00069279,             0.00069279
                     11,                 0.8354,                 1.3629,                 1.1193,                0.54493,                0.39382,                0.41725,                0.29423,                 1.1398,                 2.3791,                 1.4156,             0.00069044,             0.00069044,             0.00069044
                     12,                0.84813,                 1.3169,                 1.1178,                 0.6521,                0.40439,                0.44387,                0.31241,                 1.1379,                 2.5432,                 1.4124,             0.00068808,             0.00068808,             0.00068808
                     13,                0.84344,                 1.2688,                 1.1131,                0.58278,                0.47604,                0.50681,                0.34908,                 1.1212,                 1.7873,                 1.3915,             0.00068573,             0.00068573,             0.00068573
                     14,                 0.8438,                 1.2124,                 1.1205,                0.57567,                0.44281,                0.49501,                0.33359,                 1.1532,                 1.8588,                 1.3742,             0.00068337,             0.00068337,             0.00068337
                     15,                 0.7981,                 1.1235,                 1.0921,                0.58447,                0.46336,                0.49864,                 0.3572,                 1.0477,                 1.8127,                 1.2725,             0.00068101,             0.00068101,             0.00068101
                     16,                0.81667,                 1.1203,                 1.1169,                0.63613,                0.54046,                0.57956,                0.43218,                 1.0266,                 1.5129,                 1.2883,             0.00067866,             0.00067866,             0.00067866
                     17,                0.76666,                 1.0565,                 1.0809,                0.70238,                0.58542,                0.65683,                 0.4954,                0.92195,                 1.3374,                 1.2178,              0.0006763,              0.0006763,              0.0006763
                     18,                0.77357,                  1.017,                 1.0722,                0.64139,                0.55074,                0.62224,                0.48067,                0.90308,                 1.4517,                 1.1942,             0.00067394,             0.00067394,             0.00067394
                     19,                 0.7678,                 1.0008,                 1.0845,                0.74043,                0.52205,                0.62487,                0.48124,                0.91533,                 1.4236,                 1.2323,             0.00067159,             0.00067159,             0.00067159
                     20,                0.76038,                 1.0173,                 1.0736,                0.69678,                0.54327,                0.62324,                0.48364,                0.93487,                 1.3447,                 1.2212,             0.00066923,             0.00066923,             0.00066923
                     21,                0.71963,                 0.9251,                 1.0515,                0.74892,                0.57358,                0.62462,                0.47261,                0.86763,                 1.4192,                 1.1503,             0.00066688,             0.00066688,             0.00066688
                     22,                0.72418,                0.89543,                 1.0498,                0.69947,                0.59539,                0.66177,                0.50396,                0.89431,                 1.2557,                 1.1816,             0.00066452,             0.00066452,             0.00066452
                     23,                0.70994,                0.91008,                 1.0424,                0.70476,                0.56311,                0.64536,                0.49023,                0.92003,                 1.3204,                  1.199,             0.00066216,             0.00066216,             0.00066216
                     24,                0.74979,                0.90268,                  1.075,                0.70705,                0.62002,                0.64266,                0.48781,                0.92252,                 1.4078,                  1.211,             0.00065981,             0.00065981,             0.00065981
                     25,                0.73704,                0.85893,                 1.0485,                0.72731,                0.60296,                0.69365,                0.53246,                0.86126,                 1.2353,                 1.1836,             0.00065745,             0.00065745,             0.00065745
                     26,                0.70676,                0.83967,                 1.0369,                0.79306,                0.64255,                0.74261,                0.56075,                0.91827,                 1.0915,                 1.2299,             0.00065509,             0.00065509,             0.00065509
